S 31
L 1
B 9
C 278
52.6865 -185.331 -407.565
52.542 -185.352 -407.231
51.9778 -185.08 -406.046
50.5251 -184.689 -402.761
50.4067 -184.657 -402.498
49.8935 -184.602 -401.418
47.9969 -184.262 -397.765
47.8729 -184.241 -397.524
47.4981 -184.308 -396.557
46.029 -184.133 -392.894
45.9516 -184.124 -392.7
45.4926 -184.093 -391.661
44.093 -184.171 -388.146
44.0383 -184.174 -388.009
43.6248 -184.134 -387.031
42.0762 -183.605 -383.669
42.0378 -183.592 -383.586
41.4984 -183.408 -382.583
39.6401 -182.984 -378.731
39.6229 -182.98 -378.696
39.2187 -182.895 -377.774
37.6453 -182.805 -374.005
35.5266 -182.383 -369.557
35.1291 -182.313 -368.674
34.5008 -181.971 -367.24
33.2711 -181.189 -364.35
33.0263 -181.1 -363.741
32.252 -180.934 -361.949
31.2877 -181.076 -359.469
31.0084 -181.048 -358.874
30.1895 -180.84 -357.323
28.4993 -179.699 -354.441
28.1904 -179.545 -353.866
27.7346 -179.7 -352.522
26.5182 -179.469 -349.634
26.2322 -179.397 -349.015
25.4915 -179.198 -347.431
23.8464 -177.862 -344.335
23.5661 -177.67 -343.756
23.119 -177.769 -342.446
21.8788 -177.513 -339.474
21.6569 -177.464 -338.948
20.9741 -177.377 -337.382
19.6929 -176.651 -334.866
19.4453 -176.514 -334.377
18.7963 -176.375 -332.919
17.2324 -175.836 -329.627
16.9742 -175.718 -329.105
16.207 -175.182 -327.672
14.9157 -174.71 -324.928
14.693 -174.623 -324.462
14.0434 -174.395 -323.101
12.3689 -173.032 -319.783
12.1342 -172.858 -319.295
11.7338 -172.846 -318.082
10.4821 -172.45 -314.827
10.3044 -172.375 -314.386
9.84111 -172.182 -313.342
8.42051 -171.525 -310.303
8.22606 -171.434 -309.892
7.56919 -170.965 -308.675
5.77166 -169.808 -305.243
5.56363 -169.685 -304.837
5.10816 -169.481 -303.769
3.71023 -168.332 -300.433
3.56207 -168.218 -300.071
3.06083 -167.981 -298.794
1.79688 -167.526 -295.606
1.66586 -167.469 -295.288
1.13248 -167.178 -294.156
-0.631944 -166.24 -290.537
-0.781634 -166.162 -290.229
-1.35239 -165.712 -289.073
-2.87122 -164.937 -285.803
-2.98195 -164.879 -285.562
-3.41645 -164.392 -284.427
-4.72248 -163.472 -281.051
-4.80173 -163.415 -280.846
-5.26812 -163.017 -279.832
-7.0813 -161.693 -276.036
-7.16663 -161.632 -275.857
-7.56174 -161.45 -274.982
-9.24073 -160.327 -271.406
-9.2963 -160.291 -271.287
-9.73364 -160.078 -270.321
-11.343 -159.442 -266.86
-11.3723 -159.43 -266.796
-11.719 -159.129 -265.842
-13.5393 -157.321 -261.75
-13.5442 -157.316 -261.739
-13.8798 -157.097 -260.966
-15.6046 -155.743 -257.174
-17.3666 -155.077 -253.356
-17.7656 -154.856 -252.465
-18.5199 -154.04 -250.565
-19.3544 -152.673 -247.959
-19.5883 -152.446 -247.297
-20.3648 -152.024 -245.67
-21.4121 -150.923 -243.368
-21.7483 -150.598 -242.714
-22.728 -150.003 -240.714
-24.0241 -149.165 -237.983
-24.3083 -149.015 -237.351
-24.9587 -148.702 -235.652
-25.9261 -147.62 -233.075
-26.159 -147.364 -232.509
-26.8798 -146.632 -230.993
-28.3286 -145.839 -227.742
-28.5815 -145.67 -227.155
-28.9968 -144.984 -225.832
-30.1699 -143.328 -222.778
-30.3845 -143.087 -222.256
-31.0321 -142.745 -220.68
-32.0643 -141.962 -217.885
-32.2386 -141.794 -217.412
-32.8778 -140.954 -215.945
-34.1467 -139.894 -213.382
-34.3634 -139.721 -212.914
-35.0101 -139.098 -211.539
-36.1263 -137.831 -208.794
-36.3093 -137.637 -208.33
-36.8674 -137.139 -206.927
-38.226 -135.226 -203.306
-38.4255 -134.983 -202.802
-39.0381 -134.631 -201.356
-40.2183 -133.75 -198.294
-40.3788 -133.627 -197.886
-40.9113 -132.867 -196.53
-42.2348 -131.771 -193.694
-42.4047 -131.628 -193.315
-42.882 -131.183 -191.989
-43.9869 -129.74 -188.906
-44.1214 -129.563 -188.536
-44.6341 -128.77 -187.103
-45.6881 -127.178 -184.019
-45.7967 -127.013 -183.697
-46.2039 -126.53 -182.439
-47.3496 -125.241 -179.265
-47.4549 -125.121 -178.97
-47.9347 -124.621 -177.831
-49.1686 -123.188 -174.631
-49.2704 -123.072 -174.366
-49.7534 -122.557 -173.286
-51.3003 -121.105 -169.386
-51.4043 -121.004 -169.12
-51.8406 -120.581 -167.927
-52.7224 -118.676 -164.784
-52.7723 -118.571 -164.607
-53.1602 -118.042 -163.635
-54.6122 -116.383 -159.689
-54.672 -116.314 -159.526
-55.1156 -115.843 -158.501
-56.5978 -114.285 -154.905
-56.638 -114.242 -154.808
-56.8966 -113.7 -153.951
-58.0891 -111.768 -149.992
-58.1033 -111.745 -149.945
-58.4631 -111.294 -149.031
-59.8279 -109.624 -145.282
-61.874 -107.347 -140.974
-62.2138 -106.776 -140.065
-62.5813 -105.688 -138.387
-63.2371 -104.226 -136.169
-63.427 -103.934 -135.534
-63.805 -102.848 -133.529
-64.2894 -101.045 -130.748
-64.5051 -100.704 -130.112
-65.2566 -100.205 -128.502
-66.9187 -98.7817 -125.616
-67.1907 -98.409 -125.004
-67.4922 -97.4982 -123.503
-67.9837 -95.9848 -121.067
-68.1431 -95.7049 -120.505
-68.5908 -94.707 -118.749
-69.2695 -93.4494 -115.974
-69.3834 -93.1336 -115.429
-69.9701 -91.8923 -113.778
-70.8357 -90.2972 -111.017
-70.9934 -90.026 -110.514
-71.6845 -89.2468 -109.016
-72.5075 -87.213 -106.132
-72.6524 -86.8846 -105.631
-73.3132 -86.0723 -104.161
-74.1507 -83.9616 -101.22
-74.2911 -83.634 -100.732
-74.6788 -82.5476 -99.3119
-75.6994 -80.5892 -96.3133
-75.8588 -80.297 -95.8413
-76.078 -79.2662 -94.5314
-77.0594 -76.4376 -91.241
-77.2021 -76.0442 -90.7518
-77.535 -75.4612 -89.5616
-78.0321 -73.5699 -86.74
-78.1295 -73.2927 -86.3219
-78.6423 -72.5876 -85.0418
-79.4758 -70.4424 -81.9671
-79.5772 -70.1457 -81.5574
-79.818 -69.3032 -80.3288
-80.9346 -67.161 -77.1278
-81.0666 -66.9126 -76.741
-81.2231 -65.813 -75.4951
-81.7792 -63.5077 -72.3477
-81.8534 -63.2505 -71.9934
-82.1948 -61.9122 -70.7634
-83.146 -59.0044 -67.5104
-83.2486 -58.7159 -67.1822
-83.5459 -57.4403 -65.9027
-84.6613 -54.2788 -62.6235
-84.7647 -54.0022 -62.3319
-85.1525 -52.9989 -61.1827
-86.0097 -49.8514 -57.7056
-86.0727 -49.6111 -57.4411
-86.192 -48.5628 -56.3469
-86.464 -45.1605 -52.8401
-86.4794 -44.9409 -52.617
-86.5999 -43.6493 -51.5426
-86.9103 -39.4472 -47.9105
-86.9254 -39.2388 -47.73
-87.042 -38.2355 -46.8924
-87.3636 -34.6188 -43.7304
-87.3749 -34.4899 -43.6175
-87.4169 -33.5307 -42.7177
-87.539 -29.8295 -39.1893
-87.5415 -29.7524 -39.1157
-87.5981 -28.7949 -38.2624
-87.6264 -25.0319 -35.3688
-87.6266 -25.0051 -35.3482
-87.6543 -19.6514 -30.8453
C 280
87.6871 -176.163 -487.225
87.6871 -176.163 -487.225
87.5336 -176.316 -486.543
87.5336 -176.316 -486.543
87.3373 -176.315 -486.047
86.1694 -176.749 -483.143
84.9521 -177.423 -479.885
84.7173 -177.568 -479.198
84.3833 -177.852 -477.671
83.8795 -178.315 -475.388
83.6987 -178.328 -474.787
83.1131 -178.246 -473.042
82.0049 -178.707 -469.655
81.7895 -178.821 -468.989
81.3094 -179.256 -467.664
80.6323 -179.892 -465.435
80.4447 -179.945 -464.895
79.8741 -179.893 -463.247
78.728 -180.357 -459.803
78.5185 -180.461 -459.165
78.088 -180.833 -457.842
76.9322 -180.795 -454.823
76.7274 -180.813 -454.274
76.309 -181.088 -453.021
75.0875 -181.036 -450.077
74.8761 -181.053 -449.565
74.45 -181.321 -448.357
73.4815 -181.923 -445.121
73.3089 -181.978 -444.594
72.7224 -182.064 -443.035
71.6984 -182.464 -440.16
71.5297 -182.543 -439.705
70.8866 -182.59 -438.309
69.7141 -182.919 -435.569
69.5428 -182.974 -435.147
68.9764 -182.941 -433.741
67.8852 -183.132 -430.856
67.7117 -183.142 -430.417
67.1094 -183.171 -429.116
65.4773 -182.87 -425.694
65.2654 -182.842 -425.242
64.8507 -182.988 -424.095
63.5019 -182.903 -420.838
63.3381 -182.901 -420.437
62.8503 -183.145 -419.061
61.5675 -183.122 -416.028
61.4252 -183.124 -415.682
60.9216 -183.061 -414.433
59.73 -183.169 -411.312
59.6007 -183.174 -410.981
59.0756 -183.19 -409.826
57.3736 -182.899 -406.207
57.2204 -182.877 -405.878
56.6928 -182.789 -404.653
55.3291 -182.822 -401.285
55.2174 -182.821 -401.012
54.746 -182.795 -399.886
52.9516 -182.513 -396.136
52.8326 -182.496 -395.885
52.4421 -182.6 -394.931
51.3158 -183.039 -391.832
51.2535 -183.061 -391.663
50.7442 -182.937 -390.522
49.1576 -182.802 -386.779
49.0941 -182.797 -386.629
48.6459 -182.713 -385.625
47.02 -182.124 -382.191
46.978 -182.108 -382.102
46.5396 -182.033 -381.202
44.6074 -181.514 -377.253
44.5871 -181.509 -377.212
44.2575 -181.538 -376.397
42.5987 -181.36 -372.537
40.5153 -180.805 -367.939
40.1256 -180.756 -367.028
39.4525 -180.41 -365.627
38.1665 -179.646 -362.791
37.9119 -179.561 -362.189
37.4489 -179.831 -360.833
36.253 -179.663 -358.049
35.953 -179.583 -357.382
35.1561 -179.588 -355.75
33.6128 -179.095 -352.678
33.3023 -178.948 -352.095
32.4578 -178.323 -350.446
31.3467 -177.982 -347.931
31.1378 -177.956 -347.432
30.4423 -177.836 -345.806
29.3465 -177.414 -343.312
29.113 -177.347 -342.758
